id,name,type_1,type_2,hp,attack,defense,sp_atk,sp_def,speed,legendary
189,Jumpluff,Grass,Flying,"75,00","55,00","70,00","55,00","95,00","110,00",FALSE
190,Aipom,Normal,,"55,00","70,00","55,00","40,00","55,00","85,00",FALSE
191,Sunkern,Grass,,"30,00","30,00","30,00","30,00","30,00","30,00",FALSE
192,Sunflora,Grass,,"75,00","75,00","55,00","105,00","85,00","30,00",FALSE
193,Yanma,Bug,Flying,"65,00","65,00","45,00","75,00","45,00","95,00",FALSE
194,Wooper,Water,Ground,"55,00","45,00","45,00","25,00","25,00","15,00",FALSE
195,Quagsire,Water,Ground,"95,00","85,00","85,00","65,00","65,00","35,00",FALSE
196,Espeon,Psychic,,"65,00","65,00","60,00","130,00","95,00","110,00",FALSE
197,Umbreon,Dark,,"95,00","65,00","110,00","60,00","130,00","65,00",FALSE
198,Murkrow,Dark,Flying,"60,00","85,00","42,00","85,00","42,00","91,00",FALSE
199,Slowking,Water,Psychic,"95,00","75,00","80,00","100,00","110,00","30,00",FALSE
200,Misdreavus,Ghost,,"60,00","60,00","60,00","85,00","85,00","85,00",FALSE
201,Unown,Psychic,,"48,00","72,00","48,00","72,00","48,00","48,00",FALSE
202,Wobbuffet,Psychic,,"190,00","33,00","58,00","33,00","58,00","33,00",FALSE
203,Girafarig,Normal,Psychic,"70,00","80,00","65,00","90,00","65,00","85,00",FALSE
204,Pineco,Bug,,"50,00","65,00","90,00","35,00","35,00","15,00",FALSE
205,Forretress,Bug,Steel,"75,00","90,00","140,00","60,00","60,00","40,00",FALSE
206,Dunsparce,Normal,,"100,00","70,00","70,00","65,00","65,00","45,00",FALSE
207,Gligar,Ground,Flying,"65,00","75,00","105,00","35,00","65,00","85,00",FALSE
208,Steelix,Steel,Ground,"75,00","85,00","200,00","55,00","65,00","30,00",FALSE
208,SteelixMega Steelix,Steel,Ground,"75,00","125,00","230,00","55,00","95,00","30,00",FALSE
209,Snubbull,Fairy,,"60,00","80,00","50,00","40,00","40,00","30,00",FALSE
210,Granbull,Fairy,,"90,00","120,00","75,00","60,00","60,00","45,00",FALSE
211,Qwilfish,Water,Poison,"65,00","95,00","75,00","55,00","55,00","85,00",FALSE
212,Scizor,Bug,Steel,"70,00","130,00","100,00","55,00","80,00","65,00",FALSE
212,ScizorMega Scizor,Bug,Steel,"70,00","150,00","140,00","65,00","100,00","75,00",FALSE
213,Shuckle,Bug,Rock,"20,00","10,00","230,00","10,00","230,00","5,00",FALSE
214,Heracross,Bug,Fighting,"80,00","125,00","75,00","40,00","95,00","85,00",FALSE
214,HeracrossMega Heracross,Bug,Fighting,"80,00","185,00","115,00","40,00","105,00","75,00",FALSE
215,Sneasel,Dark,Ice,"55,00","95,00","55,00","35,00","75,00","115,00",FALSE
216,Teddiursa,Normal,,"60,00","80,00","50,00","50,00","50,00","40,00",FALSE
217,Ursaring,Normal,,"90,00","130,00","75,00","75,00","75,00","55,00",FALSE
218,Slugma,Fire,,"40,00","40,00","40,00","70,00","40,00","20,00",FALSE
219,Magcargo,Fire,Rock,"50,00","50,00","120,00","80,00","80,00","30,00",FALSE
220,Swinub,Ice,Ground,"50,00","50,00","40,00","30,00","30,00","50,00",FALSE
221,Piloswine,Ice,Ground,"100,00","100,00","80,00","60,00","60,00","50,00",FALSE
222,Corsola,Water,Rock,"55,00","55,00","85,00","65,00","85,00","35,00",FALSE
223,Remoraid,Water,,"35,00","65,00","35,00","65,00","35,00","65,00",FALSE
224,Octillery,Water,,"75,00","105,00","75,00","105,00","75,00","45,00",FALSE
225,Delibird,Ice,Flying,"45,00","55,00","45,00","65,00","45,00","75,00",FALSE
226,Mantine,Water,Flying,"65,00","40,00","70,00","80,00","140,00","70,00",FALSE
227,Skarmory,Steel,Flying,"65,00","80,00","140,00","40,00","70,00","70,00",FALSE
228,Houndour,Dark,Fire,"45,00","60,00","30,00","80,00","50,00","65,00",FALSE
229,Houndoom,Dark,Fire,"75,00","90,00","50,00","110,00","80,00","95,00",FALSE
229,HoundoomMega Houndoom,Dark,Fire,"75,00","90,00","90,00","140,00","90,00","115,00",FALSE
230,Kingdra,Water,Dragon,"75,00","95,00","95,00","95,00","95,00","85,00",FALSE
231,Phanpy,Ground,,"90,00","60,00","60,00","40,00","40,00","40,00",FALSE
232,Donphan,Ground,,"90,00","120,00","120,00","60,00","60,00","50,00",FALSE
233,Porygon2,Normal,,"85,00","80,00","90,00","105,00","95,00","60,00",FALSE
234,Stantler,Normal,,"73,00","95,00","62,00","85,00","65,00","85,00",FALSE
235,Smeargle,Normal,,"55,00","20,00","35,00","20,00","45,00","75,00",FALSE
236,Tyrogue,Fighting,,"35,00","35,00","35,00","35,00","35,00","35,00",FALSE
237,Hitmontop,Fighting,,"50,00","95,00","95,00","35,00","110,00","70,00",FALSE
238,Smoochum,Ice,Psychic,"45,00","30,00","15,00","85,00","65,00","65,00",FALSE
239,Elekid,Electric,,"45,00","63,00","37,00","65,00","55,00","95,00",FALSE
240,Magby,Fire,,"45,00","75,00","37,00","70,00","55,00","83,00",FALSE
241,Miltank,Normal,,"95,00","80,00","105,00","40,00","70,00","100,00",FALSE
242,Blissey,Normal,,"255,00","10,00","10,00","75,00","135,00","55,00",FALSE
243,Raikou,Electric,,"90,00","85,00","75,00","115,00","100,00","115,00",TRUE
244,Entei,Fire,,"115,00","115,00","85,00","90,00","75,00","100,00",TRUE
245,Suicune,Water,,"100,00","75,00","115,00","90,00","115,00","85,00",TRUE
246,Larvitar,Rock,Ground,"50,00","64,00","50,00","45,00","50,00","41,00",FALSE
247,Pupitar,Rock,Ground,"70,00","84,00","70,00","65,00","70,00","51,00",FALSE
248,Tyranitar,Rock,Dark,"100,00","134,00","110,00","95,00","100,00","61,00",FALSE
248,TyranitarMega Tyranitar,Rock,Dark,"100,00","164,00","150,00","95,00","120,00","71,00",FALSE
249,Lugia,Psychic,Flying,"106,00","90,00","130,00","90,00","154,00","110,00",TRUE
250,Ho-oh,Fire,Flying,"106,00","130,00","90,00","110,00","154,00","90,00",TRUE
251,Celebi,Psychic,Grass,"100,00","100,00","100,00","100,00","100,00","100,00",FALSE
