id,name,type_1,type_2,hp,attack,defense,sp_atk,sp_def,speed,legendary
605,Elgyem,Psychic,,"55,00","55,00","55,00","85,00","55,00","30,00",FALSE
606,Beheeyem,Psychic,,"75,00","75,00","75,00","125,00","95,00","40,00",FALSE
607,Litwick,Ghost,Fire,"50,00","30,00","55,00","65,00","55,00","20,00",FALSE
608,Lampent,Ghost,Fire,"60,00","40,00","60,00","95,00","60,00","55,00",FALSE
609,Chandelure,Ghost,Fire,"60,00","55,00","90,00","145,00","90,00","80,00",FALSE
610,Axew,Dragon,,"46,00","87,00","60,00","30,00","40,00","57,00",FALSE
611,Fraxure,Dragon,,"66,00","117,00","70,00","40,00","50,00","67,00",FALSE
612,Haxorus,Dragon,,"76,00","147,00","90,00","60,00","70,00","97,00",FALSE
613,Cubchoo,Ice,,"55,00","70,00","40,00","60,00","40,00","40,00",FALSE
614,Beartic,Ice,,"95,00","110,00","80,00","70,00","80,00","50,00",FALSE
615,Cryogonal,Ice,,"70,00","50,00","30,00","95,00","135,00","105,00",FALSE
616,Shelmet,Bug,,"50,00","40,00","85,00","40,00","65,00","25,00",FALSE
617,Accelgor,Bug,,"80,00","70,00","40,00","100,00","60,00","145,00",FALSE
618,Stunfisk,Ground,Electric,"109,00","66,00","84,00","81,00","99,00","32,00",FALSE
619,Mienfoo,Fighting,,"45,00","85,00","50,00","55,00","50,00","65,00",FALSE
620,Mienshao,Fighting,,"65,00","125,00","60,00","95,00","60,00","105,00",FALSE
621,Druddigon,Dragon,,"77,00","120,00","90,00","60,00","90,00","48,00",FALSE
622,Golett,Ground,Ghost,"59,00","74,00","50,00","35,00","50,00","35,00",FALSE
623,Golurk,Ground,Ghost,"89,00","124,00","80,00","55,00","80,00","55,00",FALSE
624,Pawniard,Dark,Steel,"45,00","85,00","70,00","40,00","40,00","60,00",FALSE
625,Bisharp,Dark,Steel,"65,00","125,00","100,00","60,00","70,00","70,00",FALSE
626,Bouffalant,Normal,,"95,00","110,00","95,00","40,00","95,00","55,00",FALSE
627,Rufflet,Normal,Flying,"70,00","83,00","50,00","37,00","50,00","60,00",FALSE
628,Braviary,Normal,Flying,"100,00","123,00","75,00","57,00","75,00","80,00",FALSE
629,Vullaby,Dark,Flying,"70,00","55,00","75,00","45,00","65,00","60,00",FALSE
630,Mandibuzz,Dark,Flying,"110,00","65,00","105,00","55,00","95,00","80,00",FALSE
631,Heatmor,Fire,,"85,00","97,00","66,00","105,00","66,00","65,00",FALSE
632,Durant,Bug,Steel,"58,00","109,00","112,00","48,00","48,00","109,00",FALSE
633,Deino,Dark,Dragon,"52,00","65,00","50,00","45,00","50,00","38,00",FALSE
634,Zweilous,Dark,Dragon,"72,00","85,00","70,00","65,00","70,00","58,00",FALSE
635,Hydreigon,Dark,Dragon,"92,00","105,00","90,00","125,00","90,00","98,00",FALSE
636,Larvesta,Bug,Fire,"55,00","85,00","55,00","50,00","55,00","60,00",FALSE
637,Volcarona,Bug,Fire,"85,00","60,00","65,00","135,00","105,00","100,00",FALSE
638,Cobalion,Steel,Fighting,"91,00","90,00","129,00","90,00","72,00","108,00",TRUE
639,Terrakion,Rock,Fighting,"91,00","129,00","90,00","72,00","90,00","108,00",TRUE
640,Virizion,Grass,Fighting,"91,00","90,00","72,00","90,00","129,00","108,00",TRUE
641,TornadusIncarnate Forme,Flying,,"79,00","115,00","70,00","125,00","80,00","111,00",TRUE
641,TornadusTherian Forme,Flying,,"79,00","100,00","80,00","110,00","90,00","121,00",TRUE
642,ThundurusIncarnate Forme,Electric,Flying,"79,00","115,00","70,00","125,00","80,00","111,00",TRUE
642,ThundurusTherian Forme,Electric,Flying,"79,00","105,00","70,00","145,00","80,00","101,00",TRUE
643,Reshiram,Dragon,Fire,"100,00","120,00","100,00","150,00","120,00","90,00",TRUE
644,Zekrom,Dragon,Electric,"100,00","150,00","120,00","120,00","100,00","90,00",TRUE
645,LandorusIncarnate Forme,Ground,Flying,"89,00","125,00","90,00","115,00","80,00","101,00",TRUE
645,LandorusTherian Forme,Ground,Flying,"89,00","145,00","90,00","105,00","80,00","91,00",TRUE
646,Kyurem,Dragon,Ice,"125,00","130,00","90,00","130,00","90,00","95,00",TRUE
646,KyuremBlack Kyurem,Dragon,Ice,"125,00","170,00","100,00","120,00","90,00","95,00",TRUE
646,KyuremWhite Kyurem,Dragon,Ice,"125,00","120,00","90,00","170,00","100,00","95,00",TRUE
647,KeldeoOrdinary Forme,Water,Fighting,"91,00","72,00","90,00","129,00","90,00","108,00",FALSE
647,KeldeoResolute Forme,Water,Fighting,"91,00","72,00","90,00","129,00","90,00","108,00",FALSE
648,MeloettaAria Forme,Normal,Psychic,"100,00","77,00","77,00","128,00","128,00","90,00",FALSE
648,MeloettaPirouette Forme,Normal,Fighting,"100,00","128,00","90,00","77,00","77,00","128,00",FALSE
649,Genesect,Bug,Steel,"71,00","120,00","95,00","120,00","95,00","99,00",FALSE
